# OVERALL MODEL COMPARISON METRICS
Model,MAE,MSE,meanAPE (%),medianAPE (%)
Current Estimate (gpu_est_total),1.7625257502409306,31.69326511554312,200.66959792353256,78.6399026673103
Random Forest Model,0.6659179274828706,12.47050193846181,30.97309066636655,11.166786759539125

# FQDN LEVEL MODEL COMPARISON METRICS
fqdn,sample_count,curr_MAE,rf_MAE,curr_MSE,rf_MSE,curr_meanAPE,rf_meanAPE,curr_medianAPE,rf_medianAPE
pyhpc-isoneural-1-0.0.1,61,17.011810569560193,11.27042651736239,969.0362804029364,684.6636902992346,1543.1036209842669,101.50383215571823,94.46570052649834,57.53481816605696
pyhpc-isoneural-2-0.0.1,17,10.335937344494916,4.0388274299441695,199.89321404506768,79.38617864633235,2130.2459821791617,27.257251555592514,57.15028943925149,9.497056985855467
pyhpc-isoneural-3-0.0.1,83,9.184838884837497,6.798466527149791,323.02290434944047,318.5772394901801,230.18798219054983,112.26523535383801,80.01493108323318,31.00979349263799
pyhpc-isoneural-4-0.0.1,12,5.850506555628246,1.4229402159335642,49.41400587912747,6.468607183325229,50.59704141530579,12.190868713311701,44.10922802580315,5.292926518274609
rodinia-lavamd-0-0.0.1,95,1.3231286371977744,0.3481742598959913,5.3361759883352144,0.7697036174532473,106.42640739753098,16.24122111605344,79.76576256601855,13.19711163362557
rodinia-lavamd-1-0.0.1,496,1.4621019477632065,0.6652642456139818,12.184222750237874,7.815227498300982,120.20257678685428,21.085336142237985,82.87861793849622,13.052160928092334
rodinia-lavamd-2-0.0.1,389,0.9904415997492825,0.2985442866060981,4.078052363048965,0.5563917111983376,105.21491904177903,22.86486015791518,83.40748733025131,13.957481586134904
rodinia-lavamd-3-0.0.1,445,0.9666877869405778,0.29331975678904476,2.8493512937378265,1.066191490275834,102.59479391318123,20.092430979775926,82.30535893512138,13.2040482552302
rodinia-lavamd-4-0.0.1,544,1.1552268670503087,0.4563706905573239,11.701154941345026,5.158223638644052,99.38283982185355,19.341416214190655,77.79930336414881,13.327203413880579
rodinia-lud-0-0.0.1,1018,0.8598607420328401,0.2987647836221797,3.8319274386991977,1.2753524703263093,113.96330236011131,23.163810217516627,82.06282239993378,10.972066435830941
rodinia-lud-1-0.0.1,782,1.0074238897871288,0.3602945167205016,6.346651175690906,2.3892733778427835,115.71717318676569,23.754431076144005,79.86455414906959,11.45882449513029
rodinia-lud-2-0.0.1,250,0.8806830014896391,0.3247028980347368,1.5855831402480702,0.5463228083404466,130.25179652258478,25.02125562746614,88.44681037386982,11.381673803666143
rodinia-lud-3-0.0.1,721,1.0520391277256467,0.73519871467573,8.336287979961655,12.943774145833316,100.44792435902973,25.489093817839667,77.5660993907221,11.057787395588928
rodinia-lud-4-0.0.1,894,0.823585630555975,0.3671303468157614,3.263777520238147,1.9579391044826238,103.2789031793225,22.53252277391421,79.1985327308104,10.340781611169284
rodinia-myocyte-0-0.0.1,54,2.236332559288075,0.321350098199231,25.780412913394322,0.4827113946439763,294.02467096971424,19.334183288233973,86.32767896588754,16.501630877436007
rodinia-myocyte-1-0.0.1,48,1.9366780699320187,0.38543509791179636,16.280794450016725,0.5426516759146317,227.46067270215588,21.857057393236285,74.14728926695085,16.070804520956543
rodinia-myocyte-2-0.0.1,792,1.141612908423203,0.4524854985101492,23.810113252708017,10.79582710423813,164.32202541669787,36.55823196118294,88.46196573128101,17.150587877448665
rodinia-myocyte-3-0.0.1,154,1.0981251454926095,0.3263802585247212,3.2481007010030583,1.6089362829943827,239.64796530629408,20.616834313688734,165.36585883087844,14.543233340023995
rodinia-myocyte-4-0.0.1,599,0.8642672807491101,0.4390068748787243,7.312083474230719,4.99410884031705,146.22972955584072,36.133964963345555,97.37517388057239,17.5345150000573
rodinia-needle-2-0.0.1,959,1.5830988564864028,0.6931135049085819,8.18360214269005,10.113733672663544,78.99326525508404,12.622691156490031,71.77326640533708,5.683360669590306
rodinia-needle-3-0.0.1,698,1.6190524809996079,0.3155785615647304,35.35747800095965,2.445509039097481,78.16095860259769,10.366566396227556,70.92110562684988,5.074920692618981
rodinia-needle-4-0.0.1,1047,2.4703629731900336,0.8107127758392353,92.11136795869986,25.740934925291494,87.63419120842536,12.532661159457612,71.97822371998944,5.6715702032518935
rodinia-pathfinder-0-0.0.1,303,1.087817291184163,0.421483094134279,7.837649978474437,2.4960307805203628,119.5834196693501,23.641915687189,87.67452677548717,12.877031614068027
rodinia-pathfinder-1-0.0.1,58,1.64160580820687,0.5872875534835604,12.791947000459665,3.9679789420530467,118.04719545899984,18.176479199385575,68.03256487000914,14.428023860984236
rodinia-pathfinder-2-0.0.1,24,0.7842160150711447,0.30998758083652794,0.778865085576637,0.19546358005901218,64.23351798745267,19.166772787266716,38.88073193562821,14.113160490181063
rodinia-pathfinder-3-0.0.1,399,0.9769383462383066,0.38584540964925546,5.081978494238636,1.7684650373642645,114.75244479719608,23.287033801807155,92.03371283805241,11.357070825583046
rodinia-pathfinder-4-0.0.1,820,0.6790221947511221,0.30535929402735723,1.3525404356702042,0.6837049204334532,101.0863666392093,29.410899174974567,81.7680918977545,12.502095784263908
rodinia-srad-0-0.0.1,800,2.602672942575366,0.8189345334908671,59.36180804244714,23.57573623714049,86.41439188931203,9.661882580543573,72.63231867198985,4.09244382281085
rodinia-srad-1-0.0.1,584,1.9244805830333178,0.4654917544028791,14.069417688230917,4.765606024336558,80.04744432627713,9.38261112946715,74.44365634694631,3.853206302266181
rodinia-srad-2-0.0.1,219,1.9171313038211635,0.4128614819410207,7.24429609792281,1.5651871234434414,85.45507119484121,9.954170580011175,82.87530693114792,4.549740772042862
rodinia-srad-3-0.0.1,129,2.277423226216127,0.5978909998029983,12.730241584949612,3.6106950878563504,92.85415885061161,12.988463602753747,77.88141828452288,5.817587424945328
rodinia-srad-4-0.0.1,552,1.9502490275249058,0.39085007015600254,8.955260996284048,1.904700753554613,87.77295744314837,10.094802109771722,75.08598408293139,4.178234215925782
squeezenet-0-0.0.1,67,5.1213889687966,2.9490152991868324,188.56391963989617,123.61909494353351,83.67292178315583,25.6065733714628,41.65225770358953,17.38068806702585
squeezenet-1-0.0.1,146,6.1417136908320575,1.4761043068044464,492.6834688472597,36.83912535647952,233.93837319517678,31.528761497410787,72.28917472902049,21.71914680163746
squeezenet-2-0.0.1,61,3.7643063865081365,1.346495160181042,39.41765175070302,13.200396158999911,131.55378313174057,21.828744812005727,66.21211947553766,16.32834493390301
squeezenet-4-0.0.1,134,1.8506872382412094,0.758825061671929,8.156439001869943,3.492296463682814,95.9795747577596,26.85589362153822,56.44254530957116,24.737013947068043
torch_rnn-0-0.0.1,68,7.106505609050328,2.4252428017754943,133.9275773007071,24.864671476454713,1660.6167812459714,107.76787453191186,109.1201019578622,49.50649526669707
torch_rnn-1-0.0.1,118,2.9394002458827386,1.407295602206463,65.72832812760561,25.789833891958686,823.592745346805,183.43441047749755,106.58962395196387,74.94999271577845
torch_rnn-2-0.0.1,39,4.884227773431131,1.7424308666548995,44.06095183191245,6.178623671898721,1158.1177613077311,240.56348121163208,69.68366848440208,30.535519440574337
torch_rnn-3-0.0.1,24,2.7199780762363166,0.8587756362358606,9.470534121371585,1.9789438620390987,1528.846888092173,139.8645098843275,62.048616663618475,23.41727155489043
torch_rnn-4-0.0.1,40,3.8086032167431036,1.1345308467767896,28.26547198561383,5.942889842576314,1290.9609731441453,147.14311863951244,83.61678857312788,33.15684389449504

# POLICY LEVEL MODEL COMPARISON METRICS
dispatch_policy,sample_count,curr_MAE,rf_MAE,curr_MSE,rf_MSE,curr_meanAPE,rf_meanAPE,curr_medianAPE,rf_medianAPE
landlord,16447,1.7625257502409306,0.6659179274828706,31.69326511554312,12.47050193846181,200.66959792353256,30.97309066636655,78.6399026673103,11.166786759539125
