fqdn,tid,e2etime,gpu_est_total,absolute_error,squared_error,percentage_relative_error,session
rodinia-lud-2-0.0.1,34770f7a9e5d572bc91e4ebb2ead10d1,0.477099126,1.3770312362989412,0.8999321102989413,0.8098778031471058,-188.62581406173888,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,348ed742ca458355acb22c48213057a2,1.351878048,2.812584275428517,1.460706227428517,2.1336626828484504,-108.05014768821195,az-2_0_Landlord_2_4
rodinia-lud-4-0.0.1,34df27455d05eebd73f156434eba032d,0.467403211,1.7682041825016124,1.3008009715016124,1.6920831674595387,-278.3038158250078,az-2_0_Landlord_2_4
rodinia-myocyte-2-0.0.1,34e650cdca80b18882db2836db589b1b,2.774720603,1.6541942635466185,1.1205263394533815,1.2555792774087948,40.38339349345227,az-2_0_Landlord_2_4
rodinia-needle-2-0.0.1,350f121fd9de7de92b76c24a3ec11c44,1.324227293,2.2599322873323207,0.9357049943323206,0.8755438364184481,-70.6604522711888,az-2_0_Landlord_2_4
rodinia-lud-4-0.0.1,3513b6f3ebc2e37e96839e93282295b9,0.44695786,0.5262141325837462,0.07925627258374618,0.006281556743869076,-17.732381433843937,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,35258559fe826fde609d2e27a3ee06d0,1.465399644,3.257480447077592,1.792080803077592,3.2115536047592275,-122.29297382561614,az-2_0_Landlord_2_4
rodinia-needle-2-0.0.1,353963987ec173617b73da88d061dd14,1.357835577,2.912273176693613,1.554437599693613,2.416276251341241,-114.47907434624636,az-2_0_Landlord_2_4
rodinia-lavamd-1-0.0.1,355cce9fe8ea4ddaf0d89c4d1eaf3c7d,2.05129419,1.9424615909314509,0.10883259906854925,0.011844534620015588,5.30555780829025,az-2_0_Landlord_2_4
rodinia-lud-4-0.0.1,3561f4cdc0cb628f77813090dcf73ca6,0.446342656,0.4069356223227688,0.039407033677231196,0.0015529143032384336,8.828874665573347,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,357937afcf25db0fb3c9b859c3f27697,1.297836983,2.44040751473336,1.1425705317333599,1.3054674199854528,-88.03652128114459,az-2_0_Landlord_2_4
rodinia-myocyte-3-0.0.1,35d3e937e122556623dcea743c5f8375,1.584160335,1.8144712480280374,0.2303109130280374,0.05304311665980821,-14.538358772127532,az-2_0_Landlord_2_4
rodinia-srad-1-0.0.1,35ecfd1f5b1d233f91b572124d8bf714,1.68624437,3.406825393300664,1.720581023300664,2.96039905774236,-102.03627978907137,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,363937ba0b181969048bdfadb18af0a9,1.344632706,3.0241396110589345,1.6795069050589344,2.8207434441406405,-124.90451091697112,az-2_0_Landlord_2_4
